year_month,month_of_release,passenger_type,direction,sex,age,estimate,standard_error,status,year
2004-09,2020-09,Long-term migrant,Arrivals,Female,0-4 years,304,0,Final,2004
2004-10,2020-09,Long-term migrant,Arrivals,Female,0-4 years,279,0,Final,2004
2004-11,2020-09,Long-term migrant,Arrivals,Female,0-4 years,283,0,Final,2004
2004-12,2020-09,Long-term migrant,Arrivals,Female,0-4 years,421,0,Final,2004
2005-01,2020-09,Long-term migrant,Arrivals,Female,0-4 years,335,0,Final,2005
2005-02,2020-09,Long-term migrant,Arrivals,Female,0-4 years,288,0,Final,2005
2005-03,2020-09,Long-term migrant,Arrivals,Female,0-4 years,253,0,Final,2005
2005-04,2020-09,Long-term migrant,Arrivals,Female,0-4 years,265,0,Final,2005
2005-05,2020-09,Long-term migrant,Arrivals,Female,0-4 years,239,0,Final,2005
2005-06,2020-09,Long-term migrant,Arrivals,Female,0-4 years,258,0,Final,2005
2005-07,2020-09,Long-term migrant,Arrivals,Female,0-4 years,243,0,Final,2005
2005-08,2020-09,Long-term migrant,Arrivals,Female,0-4 years,291,0,Final,2005
2005-09,2020-09,Long-term migrant,Arrivals,Female,0-4 years,324,0,Final,2005
2005-10,2020-09,Long-term migrant,Arrivals,Female,0-4 years,264,0,Final,2005
2005-11,2020-09,Long-term migrant,Arrivals,Female,0-4 years,304,0,Final,2005
2005-12,2020-09,Long-term migrant,Arrivals,Female,0-4 years,384,0,Final,2005
2006-01,2020-09,Long-term migrant,Arrivals,Female,0-4 years,372,0,Final,2006
2006-02,2020-09,Long-term migrant,Arrivals,Female,0-4 years,253,0,Final,2006
2006-03,2020-09,Long-term migrant,Arrivals,Female,0-4 years,294,0,Final,2006
2006-04,2020-09,Long-term migrant,Arrivals,Female,0-4 years,261,0,Final,2006
2006-05,2020-09,Long-term migrant,Arrivals,Female,0-4 years,241,0,Final,2006
2006-06,2020-09,Long-term migrant,Arrivals,Female,0-4 years,275,0,Final,2006
2006-07,2020-09,Long-term migrant,Arrivals,Female,0-4 years,290,0,Final,2006
2006-08,2020-09,Long-term migrant,Arrivals,Female,0-4 years,298,0,Final,2006
2006-09,2020-09,Long-term migrant,Arrivals,Female,0-4 years,358,0,Final,2006
2006-10,2020-09,Long-term migrant,Arrivals,Female,0-4 years,350,0,Final,2006
2006-11,2020-09,Long-term migrant,Arrivals,Female,0-4 years,338,0,Final,2006
2006-12,2020-09,Long-term migrant,Arrivals,Female,0-4 years,443,0,Final,2006
2007-01,2020-09,Long-term migrant,Arrivals,Female,0-4 years,381,0,Final,2007
2007-02,2020-09,Long-term migrant,Arrivals,Female,0-4 years,312,0,Final,2007
2007-03,2020-09,Long-term migrant,Arrivals,Female,0-4 years,281,0,Final,2007
2007-04,2020-09,Long-term migrant,Arrivals,Female,0-4 years,274,0,Final,2007
2007-05,2020-09,Long-term migrant,Arrivals,Female,0-4 years,244,0,Final,2007
2007-06,2020-09,Long-term migrant,Arrivals,Female,0-4 years,278,0,Final,2007
2007-07,2020-09,Long-term migrant,Arrivals,Female,0-4 years,270,0,Final,2007
2007-08,2020-09,Long-term migrant,Arrivals,Female,0-4 years,344,0,Final,2007
2007-09,2020-09,Long-term migrant,Arrivals,Female,0-4 years,370,0,Final,2007
2007-10,2020-09,Long-term migrant,Arrivals,Female,0-4 years,314,0,Final,2007
2007-11,2020-09,Long-term migrant,Arrivals,Female,0-4 years,371,0,Final,2007
2007-12,2020-09,Long-term migrant,Arrivals,Female,0-4 years,426,0,Final,2007
2008-01,2020-09,Long-term migrant,Arrivals,Female,0-4 years,334,0,Final,2008
2008-02,2020-09,Long-term migrant,Arrivals,Female,0-4 years,336,0,Final,2008
2008-03,2020-09,Long-term migrant,Arrivals,Female,0-4 years,320,0,Final,2008
2008-04,2020-09,Long-term migrant,Arrivals,Female,0-4 years,255,0,Final,2008
2008-05,2020-09,Long-term migrant,Arrivals,Female,0-4 years,284,0,Final,2008
2008-06,2020-09,Long-term migrant,Arrivals,Female,0-4 years,308,0,Final,2008
2008-07,2020-09,Long-term migrant,Arrivals,Female,0-4 years,269,0,Final,2008
2008-08,2020-09,Long-term migrant,Arrivals,Female,0-4 years,354,0,Final,2008
2008-09,2020-09,Long-term migrant,Arrivals,Female,0-4 years,378,0,Final,2008
2008-10,2020-09,Long-term migrant,Arrivals,Female,0-4 years,359,0,Final,2008
2008-11,2020-09,Long-term migrant,Arrivals,Female,0-4 years,374,0,Final,2008
2008-12,2020-09,Long-term migrant,Arrivals,Female,0-4 years,463,0,Final,2008
2009-01,2020-09,Long-term migrant,Arrivals,Female,0-4 years,349,0,Final,2009
2009-02,2020-09,Long-term migrant,Arrivals,Female,0-4 years,335,0,Final,2009
2009-03,2020-09,Long-term migrant,Arrivals,Female,0-4 years,334,0,Final,2009
2009-04,2020-09,Long-term migrant,Arrivals,Female,0-4 years,264,0,Final,2009
2009-05,2020-09,Long-term migrant,Arrivals,Female,0-4 years,265,0,Final,2009
2009-06,2020-09,Long-term migrant,Arrivals,Female,0-4 years,231,0,Final,2009
2009-07,2020-09,Long-term migrant,Arrivals,Female,0-4 years,267,0,Final,2009
2009-08,2020-09,Long-term migrant,Arrivals,Female,0-4 years,307,0,Final,2009
2009-09,2020-09,Long-term migrant,Arrivals,Female,0-4 years,276,0,Final,2009
2009-10,2020-09,Long-term migrant,Arrivals,Female,0-4 years,273,0,Final,2009
2009-11,2020-09,Long-term migrant,Arrivals,Female,0-4 years,324,0,Final,2009
2009-12,2020-09,Long-term migrant,Arrivals,Female,0-4 years,412,0,Final,2009
2010-01,2020-09,Long-term migrant,Arrivals,Female,0-4 years,286,0,Final,2010
2010-02,2020-09,Long-term migrant,Arrivals,Female,0-4 years,233,0,Final,2010
2010-03,2020-09,Long-term migrant,Arrivals,Female,0-4 years,246,0,Final,2010
2010-04,2020-09,Long-term migrant,Arrivals,Female,0-4 years,247,0,Final,2010
2010-05,2020-09,Long-term migrant,Arrivals,Female,0-4 years,239,0,Final,2010
2010-06,2020-09,Long-term migrant,Arrivals,Female,0-4 years,206,0,Final,2010
2010-07,2020-09,Long-term migrant,Arrivals,Female,0-4 years,241,0,Final,2010
2010-08,2020-09,Long-term migrant,Arrivals,Female,0-4 years,277,0,Final,2010
2010-09,2020-09,Long-term migrant,Arrivals,Female,0-4 years,277,0,Final,2010
2010-10,2020-09,Long-term migrant,Arrivals,Female,0-4 years,279,0,Final,2010
2010-11,2020-09,Long-term migrant,Arrivals,Female,0-4 years,249,0,Final,2010
2010-12,2020-09,Long-term migrant,Arrivals,Female,0-4 years,344,0,Final,2010
2011-01,2020-09,Long-term migrant,Arrivals,Female,0-4 years,282,0,Final,2011
2011-02,2020-09,Long-term migrant,Arrivals,Female,0-4 years,261,0,Final,2011
2011-03,2020-09,Long-term migrant,Arrivals,Female,0-4 years,283,0,Final,2011
2011-04,2020-09,Long-term migrant,Arrivals,Female,0-4 years,218,0,Final,2011
2011-05,2020-09,Long-term migrant,Arrivals,Female,0-4 years,209,0,Final,2011
2011-06,2020-09,Long-term migrant,Arrivals,Female,0-4 years,221,0,Final,2011
2011-07,2020-09,Long-term migrant,Arrivals,Female,0-4 years,251,0,Final,2011
2011-08,2020-09,Long-term migrant,Arrivals,Female,0-4 years,296,0,Final,2011
2011-09,2020-09,Long-term migrant,Arrivals,Female,0-4 years,290,0,Final,2011
2011-10,2020-09,Long-term migrant,Arrivals,Female,0-4 years,266,0,Final,2011
2011-11,2020-09,Long-term migrant,Arrivals,Female,0-4 years,309,0,Final,2011
2011-12,2020-09,Long-term migrant,Arrivals,Female,0-4 years,343,0,Final,2011
2012-01,2020-09,Long-term migrant,Arrivals,Female,0-4 years,311,0,Final,2012
2012-02,2020-09,Long-term migrant,Arrivals,Female,0-4 years,262,0,Final,2012
2012-03,2020-09,Long-term migrant,Arrivals,Female,0-4 years,252,0,Final,2012
2012-04,2020-09,Long-term migrant,Arrivals,Female,0-4 years,206,0,Final,2012
2012-05,2020-09,Long-term migrant,Arrivals,Female,0-4 years,243,0,Final,2012
2012-06,2020-09,Long-term migrant,Arrivals,Female,0-4 years,254,0,Final,2012
2012-07,2020-09,Long-term migrant,Arrivals,Female,0-4 years,211,0,Final,2012
2012-08,2020-09,Long-term migrant,Arrivals,Female,0-4 years,293,0,Final,2012
2012-09,2020-09,Long-term migrant,Arrivals,Female,0-4 years,289,0,Final,2012
2012-10,2020-09,Long-term migrant,Arrivals,Female,0-4 years,286,0,Final,2012
2012-11,2020-09,Long-term migrant,Arrivals,Female,0-4 years,295,0,Final,2012
2012-12,2020-09,Long-term migrant,Arrivals,Female,0-4 years,398,0,Final,2012
2013-01,2020-09,Long-term migrant,Arrivals,Female,0-4 years,322,0,Final,2013
2013-02,2020-09,Long-term migrant,Arrivals,Female,0-4 years,295,0,Final,2013
2013-03,2020-09,Long-term migrant,Arrivals,Female,0-4 years,295,0,Final,2013
2013-04,2020-09,Long-term migrant,Arrivals,Female,0-4 years,264,0,Final,2013
2013-05,2020-09,Long-term migrant,Arrivals,Female,0-4 years,254,0,Final,2013
2013-06,2020-09,Long-term migrant,Arrivals,Female,0-4 years,293,0,Final,2013
2013-07,2020-09,Long-term migrant,Arrivals,Female,0-4 years,298,0,Final,2013
2013-08,2020-09,Long-term migrant,Arrivals,Female,0-4 years,311,0,Final,2013
2013-09,2020-09,Long-term migrant,Arrivals,Female,0-4 years,315,0,Final,2013
2013-10,2020-09,Long-term migrant,Arrivals,Female,0-4 years,283,0,Final,2013
2013-11,2020-09,Long-term migrant,Arrivals,Female,0-4 years,345,0,Final,2013
2013-12,2020-09,Long-term migrant,Arrivals,Female,0-4 years,458,0,Final,2013
2014-01,2020-09,Long-term migrant,Arrivals,Female,0-4 years,377,0,Final,2014
2014-02,2020-09,Long-term migrant,Arrivals,Female,0-4 years,362,0,Final,2014
2014-03,2020-09,Long-term migrant,Arrivals,Female,0-4 years,337,0,Final,2014
2014-04,2020-09,Long-term migrant,Arrivals,Female,0-4 years,246,0,Final,2014
2014-05,2020-09,Long-term migrant,Arrivals,Female,0-4 years,294,0,Final,2014
2014-06,2020-09,Long-term migrant,Arrivals,Female,0-4 years,283,0,Final,2014
2014-07,2020-09,Long-term migrant,Arrivals,Female,0-4 years,292,0,Final,2014
2014-08,2020-09,Long-term migrant,Arrivals,Female,0-4 years,335,0,Final,2014
2014-09,2020-09,Long-term migrant,Arrivals,Female,0-4 years,367,0,Final,2014
2014-10,2020-09,Long-term migrant,Arrivals,Female,0-4 years,327,0,Final,2014
2014-11,2020-09,Long-term migrant,Arrivals,Female,0-4 years,371,0,Final,2014
2014-12,2020-09,Long-term migrant,Arrivals,Female,0-4 years,478,0,Final,2014
2015-01,2020-09,Long-term migrant,Arrivals,Female,0-4 years,389,0,Final,2015
2015-02,2020-09,Long-term migrant,Arrivals,Female,0-4 years,300,0,Final,2015
2015-03,2020-09,Long-term migrant,Arrivals,Female,0-4 years,338,0,Final,2015
2015-04,2020-09,Long-term migrant,Arrivals,Female,0-4 years,347,0,Final,2015
2015-05,2020-09,Long-term migrant,Arrivals,Female,0-4 years,332,0,Final,2015
2015-06,2020-09,Long-term migrant,Arrivals,Female,0-4 years,306,0,Final,2015
2015-07,2020-09,Long-term migrant,Arrivals,Female,0-4 years,323,0,Final,2015
2015-08,2020-09,Long-term migrant,Arrivals,Female,0-4 years,388,0,Final,2015
2015-09,2020-09,Long-term migrant,Arrivals,Female,0-4 years,404,0,Final,2015
2015-10,2020-09,Long-term migrant,Arrivals,Female,0-4 years,408,0,Final,2015
2015-11,2020-09,Long-term migrant,Arrivals,Female,0-4 years,365,0,Final,2015
2015-12,2020-09,Long-term migrant,Arrivals,Female,0-4 years,500,0,Final,2015
2016-01,2020-09,Long-term migrant,Arrivals,Female,0-4 years,355,0,Final,2016
2016-02,2020-09,Long-term migrant,Arrivals,Female,0-4 years,393,0,Final,2016
2016-03,2020-09,Long-term migrant,Arrivals,Female,0-4 years,427,0,Final,2016
2016-04,2020-09,Long-term migrant,Arrivals,Female,0-4 years,331,0,Final,2016
2016-05,2020-09,Long-term migrant,Arrivals,Female,0-4 years,355,0,Final,2016
2016-06,2020-09,Long-term migrant,Arrivals,Female,0-4 years,344,0,Final,2016
2016-07,2020-09,Long-term migrant,Arrivals,Female,0-4 years,364,0,Final,2016
2016-08,2020-09,Long-term migrant,Arrivals,Female,0-4 years,440,0,Final,2016
2016-09,2020-09,Long-term migrant,Arrivals,Female,0-4 years,438,0,Final,2016
2016-10,2020-09,Long-term migrant,Arrivals,Female,0-4 years,424,0,Final,2016
2016-11,2020-09,Long-term migrant,Arrivals,Female,0-4 years,432,0,Final,2016
2016-12,2020-09,Long-term migrant,Arrivals,Female,0-4 years,498,0,Final,2016
2017-01,2020-09,Long-term migrant,Arrivals,Female,0-4 years,408,0,Final,2017
2017-02,2020-09,Long-term migrant,Arrivals,Female,0-4 years,426,0,Final,2017
2017-03,2020-09,Long-term migrant,Arrivals,Female,0-4 years,356,0,Final,2017
2017-04,2020-09,Long-term migrant,Arrivals,Female,0-4 years,328,0,Final,2017
2017-05,2020-09,Long-term migrant,Arrivals,Female,0-4 years,322,0,Final,2017
2017-06,2020-09,Long-term migrant,Arrivals,Female,0-4 years,336,0,Final,2017
2017-07,2020-09,Long-term migrant,Arrivals,Female,0-4 years,395,0,Final,2017
2017-08,2020-09,Long-term migrant,Arrivals,Female,0-4 years,430,0,Final,2017
2017-09,2020-09,Long-term migrant,Arrivals,Female,0-4 years,389,0,Final,2017
2017-10,2020-09,Long-term migrant,Arrivals,Female,0-4 years,427,0,Final,2017
2017-11,2020-09,Long-term migrant,Arrivals,Female,0-4 years,365,0,Final,2017
2017-12,2020-09,Long-term migrant,Arrivals,Female,0-4 years,523,0,Final,2017
2018-01,2020-09,Long-term migrant,Arrivals,Female,0-4 years,434,0,Final,2018
2018-02,2020-09,Long-term migrant,Arrivals,Female,0-4 years,304,0,Final,2018
2018-03,2020-09,Long-term migrant,Arrivals,Female,0-4 years,403,0,Final,2018
2018-04,2020-09,Long-term migrant,Arrivals,Female,0-4 years,296,0,Final,2018
2018-05,2020-09,Long-term migrant,Arrivals,Female,0-4 years,295,0,Final,2018
2018-06,2020-09,Long-term migrant,Arrivals,Female,0-4 years,319,0,Final,2018
2018-07,2020-09,Long-term migrant,Arrivals,Female,0-4 years,317,0,Final,2018
2018-08,2020-09,Long-term migrant,Arrivals,Female,0-4 years,405,0,Final,2018
2018-09,2020-09,Long-term migrant,Arrivals,Female,0-4 years,380,0,Final,2018
2018-10,2020-09,Long-term migrant,Arrivals,Female,0-4 years,392,0,Final,2018
2018-11,2020-09,Long-term migrant,Arrivals,Female,0-4 years,379,0,Final,2018
2018-12,2020-09,Long-term migrant,Arrivals,Female,0-4 years,498,0,Final,2018
2019-01,2020-09,Long-term migrant,Arrivals,Female,0-4 years,397,0,Final,2019
2019-02,2020-09,Long-term migrant,Arrivals,Female,0-4 years,355,0,Final,2019
2019-03,2020-09,Long-term migrant,Arrivals,Female,0-4 years,370,0,Final,2019
2019-04,2020-09,Long-term migrant,Arrivals,Female,0-4 years,277,0,Final,2019
2019-05,2020-09,Long-term migrant,Arrivals,Female,0-4 years,316,0,Final,2019
2019-06,2020-10,Long-term migrant,Arrivals,Female,0-4 years,340,0,Final,2019
2019-07,2020-11,Long-term migrant,Arrivals,Female,0-4 years,356,0,Final,2019
2019-08,2020-12,Long-term migrant,Arrivals,Female,0-4 years,422,0,Final,2019
2019-09,2021-01,Long-term migrant,Arrivals,Female,0-4 years,393,0,Final,2019
2019-10,2021-02,Long-term migrant,Arrivals,Female,0-4 years,378,0,Final,2019
2019-11,2021-03,Long-term migrant,Arrivals,Female,0-4 years,434,0,Final,2019
2019-12,2021-04,Long-term migrant,Arrivals,Female,0-4 years,617,0,Final,2019
2020-01,2021-05,Long-term migrant,Arrivals,Female,0-4 years,502,0,Final,2020
2020-02,2021-06,Long-term migrant,Arrivals,Female,0-4 years,516,0,Final,2020
2020-03,2021-07,Long-term migrant,Arrivals,Female,0-4 years,432,0,Final,2020
2020-04,2021-08,Long-term migrant,Arrivals,Female,0-4 years,30,0,Final,2020
2020-05,2021-09,Long-term migrant,Arrivals,Female,0-4 years,56,0,Final,2020
2020-06,2021-10,Long-term migrant,Arrivals,Female,0-4 years,118,0,Final,2020
2020-07,2021-11,Long-term migrant,Arrivals,Female,0-4 years,131,0,Final,2020
2020-08,2021-12,Long-term migrant,Arrivals,Female,0-4 years,173,0,Final,2020
2020-09,2022-01,Long-term migrant,Arrivals,Female,0-4 years,220,0,Final,2020
2020-10,2022-02,Long-term migrant,Arrivals,Female,0-4 years,213,0,Final,2020
2020-11,2022-03,Long-term migrant,Arrivals,Female,0-4 years,198,0,Final,2020
2020-12,2022-04,Long-term migrant,Arrivals,Female,0-4 years,208,0,Final,2020
2021-01,2022-05,Long-term migrant,Arrivals,Female,0-4 years,191,0,Final,2021
2021-02,2022-06,Long-term migrant,Arrivals,Female,0-4 years,177,0,Final,2021
2021-03,2022-07,Long-term migrant,Arrivals,Female,0-4 years,185,0,Final,2021
2021-04,2022-08,Long-term migrant,Arrivals,Female,0-4 years,204,0,Final,2021
2021-05,2022-09,Long-term migrant,Arrivals,Female,0-4 years,227,0,Final,2021
2021-06,2022-10,Long-term migrant,Arrivals,Female,0-4 years,194,0,Final,2021
2021-07,2022-11,Long-term migrant,Arrivals,Female,0-4 years,242,0,Final,2021
2021-08,2022-12,Long-term migrant,Arrivals,Female,0-4 years,141,0,Final,2021
2021-09,2023-01,Long-term migrant,Arrivals,Female,0-4 years,132,0,Final,2021
2021-10,2023-02,Long-term migrant,Arrivals,Female,0-4 years,193,0,Final,2021
2021-11,2023-03,Long-term migrant,Arrivals,Female,0-4 years,199,0,Final,2021
2021-12,2023-04,Long-term migrant,Arrivals,Female,0-4 years,236,0,Final,2021
2022-01,2023-05,Long-term migrant,Arrivals,Female,0-4 years,170,0,Final,2022
2022-02,2023-06,Long-term migrant,Arrivals,Female,0-4 years,128,0,Final,2022
2022-03,2023-07,Long-term migrant,Arrivals,Female,0-4 years,309,0,Final,2022
2022-04,2023-08,Long-term migrant,Arrivals,Female,0-4 years,264,0,Final,2022
2022-05,2023-09,Long-term migrant,Arrivals,Female,0-4 years,275,0,Final,2022
2022-06,2023-09,Long-term migrant,Arrivals,Female,0-4 years,293,0,Provisional,2022
2022-07,2023-09,Long-term migrant,Arrivals,Female,0-4 years,326,1,Provisional,2022
2022-08,2023-09,Long-term migrant,Arrivals,Female,0-4 years,299,2,Provisional,2022
2022-09,2023-09,Long-term migrant,Arrivals,Female,0-4 years,327,2,Provisional,2022
2022-10,2023-09,Long-term migrant,Arrivals,Female,0-4 years,316,4,Provisional,2022
2022-11,2023-09,Long-term migrant,Arrivals,Female,0-4 years,488,7,Provisional,2022
2022-12,2023-09,Long-term migrant,Arrivals,Female,0-4 years,542,11,Provisional,2022
2023-01,2023-09,Long-term migrant,Arrivals,Female,0-4 years,396,10,Provisional,2023
2023-02,2023-09,Long-term migrant,Arrivals,Female,0-4 years,482,10,Provisional,2023
2023-03,2023-09,Long-term migrant,Arrivals,Female,0-4 years,630,13,Provisional,2023
2023-04,2023-09,Long-term migrant,Arrivals,Female,0-4 years,471,10,Provisional,2023
2023-05,2023-09,Long-term migrant,Arrivals,Female,0-4 years,506,14,Provisional,2023
2023-06,2023-09,Long-term migrant,Arrivals,Female,0-4 years,484,16,Provisional,2023
2023-07,2023-09,Long-term migrant,Arrivals,Female,0-4 years,413,16,Provisional,2023
2023-08,2023-09,Long-term migrant,Arrivals,Female,0-4 years,598,29,Provisional,2023
2023-09,2023-09,Long-term migrant,Arrivals,Female,0-4 years,514,41,Provisional,2023
2001-01,2020-09,Long-term migrant,Arrivals,Male,0-4 years,341,0,Final,2001
2001-02,2020-09,Long-term migrant,Arrivals,Male,0-4 years,283,0,Final,2001
2001-03,2020-09,Long-term migrant,Arrivals,Male,0-4 years,237,0,Final,2001
2001-04,2020-09,Long-term migrant,Arrivals,Male,0-4 years,244,0,Final,2001
2001-05,2020-09,Long-term migrant,Arrivals,Male,0-4 years,216,0,Final,2001
2001-06,2020-09,Long-term migrant,Arrivals,Male,0-4 years,254,0,Final,2001
2001-07,2020-09,Long-term migrant,Arrivals,Male,0-4 years,251,0,Final,2001
2001-08,2020-09,Long-term migrant,Arrivals,Male,0-4 years,265,0,Final,2001
2001-09,2020-09,Long-term migrant,Arrivals,Male,0-4 years,339,0,Final,2001
2001-10,2020-09,Long-term migrant,Arrivals,Male,0-4 years,330,0,Final,2001
2001-11,2020-09,Long-term migrant,Arrivals,Male,0-4 years,402,0,Final,2001
2001-12,2020-09,Long-term migrant,Arrivals,Male,0-4 years,399,0,Final,2001
2002-01,2020-09,Long-term migrant,Arrivals,Male,0-4 years,353,0,Final,2002
2002-02,2020-09,Long-term migrant,Arrivals,Male,0-4 years,320,0,Final,2002
2002-03,2020-09,Long-term migrant,Arrivals,Male,0-4 years,324,0,Final,2002
2002-04,2020-09,Long-term migrant,Arrivals,Male,0-4 years,256,0,Final,2002
2002-05,2020-09,Long-term migrant,Arrivals,Male,0-4 years,267,0,Final,2002
2002-06,2020-09,Long-term migrant,Arrivals,Male,0-4 years,272,0,Final,2002
2002-07,2020-09,Long-term migrant,Arrivals,Male,0-4 years,281,0,Final,2002
2002-08,2020-09,Long-term migrant,Arrivals,Male,0-4 years,315,0,Final,2002
2002-09,2020-09,Long-term migrant,Arrivals,Male,0-4 years,357,0,Final,2002
2002-10,2020-09,Long-term migrant,Arrivals,Male,0-4 years,358,0,Final,2002
2002-11,2020-09,Long-term migrant,Arrivals,Male,0-4 years,394,0,Final,2002
2002-12,2020-09,Long-term migrant,Arrivals,Male,0-4 years,430,0,Final,2002
2003-01,2020-09,Long-term migrant,Arrivals,Male,0-4 years,426,0,Final,2003
2003-02,2020-09,Long-term migrant,Arrivals,Male,0-4 years,343,0,Final,2003
2003-03,2020-09,Long-term migrant,Arrivals,Male,0-4 years,328,0,Final,2003
2003-04,2020-09,Long-term migrant,Arrivals,Male,0-4 years,277,0,Final,2003
2003-05,2020-09,Long-term migrant,Arrivals,Male,0-4 years,287,0,Final,2003
2003-06,2020-09,Long-term migrant,Arrivals,Male,0-4 years,288,0,Final,2003
2003-07,2020-09,Long-term migrant,Arrivals,Male,0-4 years,272,0,Final,2003
2003-08,2020-09,Long-term migrant,Arrivals,Male,0-4 years,313,0,Final,2003
2003-09,2020-09,Long-term migrant,Arrivals,Male,0-4 years,312,0,Final,2003
2003-10,2020-09,Long-term migrant,Arrivals,Male,0-4 years,352,0,Final,2003
2003-11,2020-09,Long-term migrant,Arrivals,Male,0-4 years,349,0,Final,2003
2003-12,2020-09,Long-term migrant,Arrivals,Male,0-4 years,414,0,Final,2003
2004-01,2020-09,Long-term migrant,Arrivals,Male,0-4 years,393,0,Final,2004
2004-02,2020-09,Long-term migrant,Arrivals,Male,0-4 years,308,0,Final,2004
2004-03,2020-09,Long-term migrant,Arrivals,Male,0-4 years,289,0,Final,2004
2004-04,2020-09,Long-term migrant,Arrivals,Male,0-4 years,233,0,Final,2004
2004-05,2020-09,Long-term migrant,Arrivals,Male,0-4 years,233,0,Final,2004
2004-06,2020-09,Long-term migrant,Arrivals,Male,0-4 years,251,0,Final,2004
2004-07,2020-09,Long-term migrant,Arrivals,Male,0-4 years,272,0,Final,2004
2004-08,2020-09,Long-term migrant,Arrivals,Male,0-4 years,275,0,Final,2004
2004-09,2020-09,Long-term migrant,Arrivals,Male,0-4 years,311,0,Final,2004
2004-10,2020-09,Long-term migrant,Arrivals,Male,0-4 years,302,0,Final,2004
2004-11,2020-09,Long-term migrant,Arrivals,Male,0-4 years,311,0,Final,2004
2004-12,2020-09,Long-term migrant,Arrivals,Male,0-4 years,441,0,Final,2004
2005-01,2020-09,Long-term migrant,Arrivals,Male,0-4 years,382,0,Final,2005
2005-02,2020-09,Long-term migrant,Arrivals,Male,0-4 years,284,0,Final,2005
